Instrument,CIK Number,Tangible Book Value - Utility,Retained Earnings (Accumulated Deficit),Market Value for Company,Total Debt,Total Current Assets,"Net Income/Starting Line, Cumulative","Total Assets, Reported",NAICS Industry Group Name,Inventories (CF),Company Common Name,Cash and Short Term Investments,Accounts Payable (CF),Net Debt Incl. Pref.Stock & Min.Interest,Delisted Quote Flag,Earnings Before Interest & Taxes (EBIT) (Pvt),Tangible Book Value Per Share,Net Sales,Tangible Book Value - Reported,Total Equity,Pricing Volatility,Depreciation And Amortization,Tangible Book Value - Insurance,Instrument Is Active Flag,Total Liabilities,Tangible Book Value - Banks,Operating Income,Total Current Liabilities
1508913,1508913.0,695476000.0,677524000.0,7812090000.0,1635000000.0,1781875000.0,253161000.0,3655163000.0,Other Information Services,,Qihoo 360 Technology Co Ltd,1125516000.0,61740000.0,590410000.0,1.0,,3.58197,1804583000.0,695476000.0,1191880000.0,,,695476000.0,0.0,2463283000.0,695476000.0,324769000.0,2361289000.0
1508913,,695476000.0,677524000.0,7812090000.0,1635000000.0,1781875000.0,253161000.0,3655163000.0,,,,1125516000.0,61740000.0,590410000.0,,,3.58197,1804583000.0,695476000.0,1191880000.0,,,695476000.0,,2463283000.0,695476000.0,324769000.0,2361289000.0
1509986,1509986.0,257925000.0,,436480000.0,209890000.0,495698000.0,-133603000.0,853628000.0,Other Information Services,-94000.0,Link Motion Inc,266948000.0,18047000.0,32863000.0,1.0,,0.52734,343050000.0,257925000.0,385843000.0,,,257925000.0,0.0,467785000.0,257925000.0,-126979000.0,159643000.0
1509986,,442668000.0,,16750000.0,223024000.0,474959000.0,,902586000.0,,,,319832000.0,,-108756000.0,,,0.90506,57611000.0,442668000.0,446030000.0,,,442668000.0,,456556000.0,442668000.0,-185123000.0,287966000.0
1164975,1164975.0,-155504000.0,-112779000.0,,120000.0,81847000.0,-10716000.0,151952000.0,Semiconductor and Other Electronic Component Manufacturing,-703000.0,Cortina Systems Inc,40924000.0,-2522000.0,185128000.0,,,-4.2782,141086000.0,-155504000.0,127213000.0,,,-155504000.0,,24739000.0,-155504000.0,-10351000.0,18943000.0
1164975,,-155504000.0,-112779000.0,,120000.0,81847000.0,-10716000.0,151952000.0,,-703000.0,,40924000.0,-2522000.0,185128000.0,,,-4.2782,141086000.0,-155504000.0,127213000.0,,,-155504000.0,,24739000.0,-155504000.0,-10351000.0,18943000.0
773717,773717.0,-15397520.0,-102578120.0,4980000.0,2894180.0,44580.0,-940940.0,3928110.0,Metal Ore Mining,,Cambrian Minerals Group Inc,1330.0,148650.0,12892850.0,0.0,,-0.13218,0.0,-15397520.0,-5397520.0,,0.0,-15397520.0,1.0,9325630.0,-15397520.0,-333080.0,9313130.0
773717,,-15854040.0,-103174810.0,10080000.0,3006620.0,25330.0,-596690.0,3908850.0,,,,2190.0,219170.0,13004430.0,,,-0.13267,0.0,-15854040.0,-5854040.0,,,-15854040.0,,9762890.0,-15854040.0,-122620.0,9762890.0
1502774,1502774.0,-11734730.0,-17957920.0,690000.0,7401460.0,5740.0,-14127160.0,7739610.0,Oil and Gas Extraction,,Rio Bravo Oil Inc,0.0,869300.0,13285710.0,0.0,,-0.36104,120150.0,-11734730.0,-5850480.0,,10730750.0,-11734730.0,0.0,13590090.0,-11734730.0,-13315980.0,9458400.0
1502774,,-11734730.0,-17957920.0,730000.0,7401460.0,5740.0,-14127160.0,7739610.0,,,,0.0,869300.0,13285710.0,,,-0.36104,120150.0,-11734730.0,-5850480.0,,10730750.0,-11734730.0,,13590090.0,-11734730.0,-13315980.0,9458400.0
1515980,1515980.0,694794000.0,-94990000.0,435050000.0,2917243000.0,,-11595000.0,3662970000.0,Nondepository Credit Intermediation,,Apollo Residential Mortgage Inc,120144000.0,,2797168000.0,1.0,,21.81249,47247000.0,694794000.0,694863000.0,,,694794000.0,0.0,2968107000.0,694794000.0,-11595000.0,
1515980,,694794000.0,-94990000.0,435050000.0,2917243000.0,,-11595000.0,3662970000.0,,,,120144000.0,,2797168000.0,,,21.81249,47247000.0,694794000.0,694863000.0,,,694794000.0,,2968107000.0,694794000.0,-11595000.0,
1128725,1128725.0,-41328000.0,-147256000.0,2370000.0,41291000.0,18389000.0,-26472000.0,54569000.0,Computer Systems Design and Related Services,,InterCloud Systems Inc,1781000.0,,39853000.0,0.0,,-146.49085,59110000.0,-41328000.0,-16386000.0,,1326000.0,-41328000.0,1.0,70955000.0,-41328000.0,-22014000.0,57802000.0
1128725,,-39959000.0,-193282000.0,230000.0,15281000.0,13297000.0,-44892000.0,16456000.0,,,,376000.0,,15243000.0,,,-4.2792,34520000.0,-39959000.0,-37767000.0,,559000.0,-39959000.0,,54223000.0,-39959000.0,-38341000.0,33803000.0
1514705,1514705.0,55200000.0,-22000000.0,771630000.0,854100000.0,316100000.0,59500000.0,2120900000.0,Petroleum and Coal Products Manufacturing,29400000.0,SunCoke Energy Inc,134000000.0,-800000.0,1048900000.0,0.0,,0.85942,1223300000.0,55200000.0,311100000.0,,114200000.0,55200000.0,1.0,1809800000.0,55200000.0,121600000.0,172000000.0
1514705,,181400000.0,100100000.0,553600000.0,863700000.0,311200000.0,103500000.0,2060100000.0,,-18500000.0,,120200000.0,11700000.0,976900000.0,,,2.81113,1331500000.0,181400000.0,426200000.0,,128200000.0,181400000.0,,1633900000.0,181400000.0,82500000.0,178400000.0
1510030,1510030.0,-47580.0,-72580.0,,50000.0,760.0,-68440.0,386770.0,Other Investment Pools and Funds,,China Resources Development Inc,760.0,,49240.0,,,-0.0331,,-47580.0,-47580.0,,,-47580.0,,434350.0,-47580.0,-68440.0,434350.0
1510030,,-47580.0,-72580.0,,50000.0,760.0,-68440.0,386770.0,,,,760.0,,49240.0,,,-0.0331,,-47580.0,-47580.0,,,-47580.0,,434350.0,-47580.0,-68440.0,434350.0
1482541,1482541.0,-2779260.0,-14336210.0,45900000.0,830830.0,1356810.0,-3272610.0,2117820.0,Building Equipment Contractors,513900.0,Surna Inc,319550.0,,512050.0,0.0,,-0.01729,7579860.0,-2779260.0,-2111040.0,,,-2779260.0,1.0,4228870.0,-2779260.0,-871160.0,4216880.0
1482541,,742670.0,-19254910.0,16650000.0,6930.0,3707420.0,-4918700.0,4828820.0,,-50730.0,,2468200.0,,-2460500.0,,,0.0036,7210240.0,742670.0,1412490.0,,,742670.0,,3416340.0,742670.0,-4885090.0,3398940.0
1507385,1507385.0,7109542000.0,-4200423000.0,7589230000.0,6367248000.0,,-200824000.0,15587574000.0,Lessors of Real Estate,,VEREIT Inc,253479000.0,-214000.0,6286369000.0,0.0,,7.29823,1335447000.0,7109542000.0,8447361000.0,,762038000.0,7109542000.0,1.0,7140213000.0,7109542000.0,188258000.0,
1507385,,6546077000.0,-4776581000.0,6917660000.0,6073444000.0,,32378000.0,14705578000.0,,,,34176000.0,50000.0,6198294000.0,,,6.71938,1252285000.0,6546077000.0,7884278000.0,,706802000.0,6546077000.0,,6821300000.0,6546077000.0,274626000.0,
1508478,1508478.0,307947000.0,271968000.0,2184600000.0,579679000.0,445190000.0,78810000.0,1505053000.0,Limited-Service Eating Places,26763000.0,Arcos Dorados Holdings Inc,194803000.0,35815000.0,385461000.0,0.0,,1.46146,2928630000.0,307947000.0,350991000.0,,,307947000.0,1.0,1154062000.0,307947000.0,178580000.0,548308000.0
1508478,,447921000.0,401134000.0,1671580000.0,633501000.0,653037000.0,129166000.0,1803743000.0,,-53466000.0,,328079000.0,102660000.0,305914000.0,,,2.12212,3319525000.0,447921000.0,495650000.0,,,447921000.0,,1308093000.0,447921000.0,272935000.0,605583000.0
1654714,1500944.0,2828920.0,-6939270.0,141690000.0,0.0,1340790.0,-1695580.0,2879550.0,Commercial and Service Industry Machinery Manufacturing,,Nexoptic Technology Corp,1322370.0,,-1322370.0,0.0,,0.05346,,2828920.0,2828920.0,,,2828920.0,1.0,50630.0,2828920.0,-1595150.0,50630.0
1654714,1654714.0,7988730.0,-7423760.0,82850000.0,0.0,8248470.0,-9258000.0,63279570.0,,,,8143700.0,,-8143700.0,,,0.06371,,7988730.0,62945500.0,,940890.0,7988730.0,,334070.0,7988730.0,-9288860.0,334070.0
1506289,1506289.0,976899110.0,-502481530.0,957830000.0,4135290.0,,207016710.0,993442260.0,Other Investment Pools and Funds,,BlackRock Resources and Commodities Strategy Trust,586380.0,4058520.0,3548910.0,0.0,,9.86171,-73755510.0,976899110.0,976899110.0,,,976899110.0,1.0,16543150.0,976899110.0,-83411980.0,
1506289,,1027472070.0,-463260140.0,677120000.0,485340.0,,131725260.0,1046481020.0,,,,94930.0,-3414720.0,390410.0,,,10.64234,62406490.0,1027472070.0,1027472070.0,,,1027472070.0,,19008950.0,1027472070.0,51985860.0,
1452857,1452857.0,154106000.0,,508630000.0,394439000.0,915511000.0,2571000.0,1967115000.0,"Coating, Engraving, Heat Treating, and Allied Activities",7676000.0,Steel Partners Holdings LP,503778000.0,,46178000.0,0.0,,5.89248,1163549000.0,154106000.0,548741000.0,,,154106000.0,1.0,1418374000.0,154106000.0,37714000.0,465766000.0
1452857,,176671000.0,,338940000.0,591179000.0,1028562000.0,6012000.0,2164040000.0,,-21683000.0,,477068000.0,,135044000.0,,,6.70518,1372027000.0,176671000.0,546103000.0,,,176671000.0,,1617937000.0,176671000.0,68553000.0,514873000.0
1444192,1444192.0,9315000.0,-50875000.0,17900000.0,1406000.0,10187000.0,-11247000.0,25456000.0,Scientific Research and Development Services,0.0,Acasti Pharma Inc,9772000.0,382000.0,-8366000.0,0.0,,0.63356,,9315000.0,21703000.0,,2738000.0,9315000.0,1.0,3753000.0,9315000.0,-11210000.0,2138000.0
1444192,,-1841000.0,-72379000.0,89070000.0,1612000.0,9492000.0,-21504000.0,22959000.0,,,,8223000.0,,-6611000.0,,,-0.07181,,-1841000.0,8224000.0,,2672000.0,-1841000.0,,14735000.0,-1841000.0,-19696000.0,6697000.0
1415916,1415916.0,399378000.0,,1623180000.0,1492461000.0,160927000.0,185742000.0,2252708000.0,"Deep Sea, Coastal, and Great Lakes Water Transportation",230000.0,Golar LNG Partners LP,65710000.0,-1700000.0,1545669000.0,0.0,,6.23314,441598000.0,399378000.0,536453000.0,,100468000.0,399378000.0,1.0,1716255000.0,399378000.0,266670000.0,215472000.0
1415916,,512260000.0,,769900000.0,1499115000.0,311496000.0,144848000.0,2427371000.0,,458000.0,,246954000.0,1417000.0,1514296000.0,,,7.34231,433102000.0,512260000.0,771057000.0,,103810000.0,512260000.0,,1656314000.0,512260000.0,236110000.0,180087000.0
1487439,1487439.0,1821020.0,-871920.0,1960000.0,95000.0,1270670.0,-536900.0,1975490.0,Other Financial Investment Activities,,Crown Alliance Capital Ltd,144770.0,44120.0,-49770.0,1.0,,0.00856,452920.0,1821020.0,1821020.0,,8530.0,1821020.0,0.0,154470.0,1821020.0,-535090.0,154470.0
1487439,,1821020.0,-871920.0,1960000.0,95000.0,1270670.0,-536900.0,1975490.0,,,,144770.0,44120.0,-49770.0,,,0.00856,452920.0,1821020.0,1821020.0,,8530.0,1821020.0,,154470.0,1821020.0,-535090.0,154470.0
1163389,1163389.0,46917000.0,-13301000.0,57530000.0,16496000.0,,958000.0,634335000.0,Depository Credit Intermediation,,New Peoples Bankshares Inc,,,,0.0,,2.00891,,46917000.0,46917000.0,,,46917000.0,1.0,587418000.0,46917000.0,,
1163389,,50973000.0,-10847000.0,34450000.0,16496000.0,,3094000.0,666700000.0,,,,,,,,,2.13079,,50973000.0,50973000.0,,,50973000.0,,615727000.0,50973000.0,,
1516007,1516007.0,465307000.0,,3715010000.0,190800000.0,137587000.0,117063000.0,728974000.0,Pipeline Transportation of Crude Oil,,Enterprise Terminaling Services LP,17332000.0,2703000.0,198069000.0,1.0,,5.60614,210950000.0,465307000.0,493647000.0,,20407000.0,465307000.0,0.0,235327000.0,465307000.0,125500000.0,44868000.0
1516007,,465307000.0,,3715010000.0,190800000.0,137587000.0,117063000.0,728974000.0,,,,17332000.0,2703000.0,198069000.0,,,5.60614,210950000.0,465307000.0,493647000.0,,20407000.0,465307000.0,,235327000.0,465307000.0,125500000.0,44868000.0
1383960,1383960.0,-58423270.0,-93057960.0,720000.0,119191990.0,35040380.0,-34822730.0,183265260.0,General Medical and Surgical Hospitals,-989480.0,University General Health System Inc,1708900.0,,125147180.0,1.0,,-0.15738,163988990.0,-58423270.0,-8338450.0,,11476320.0,-58423270.0,0.0,191603710.0,-58423270.0,-17106500.0,92877120.0
1383960,,-58423270.0,-93057960.0,720000.0,119191990.0,35040380.0,-34822730.0,183265260.0,,-989480.0,,1708900.0,,125147180.0,,,-0.15738,163988990.0,-58423270.0,-8338450.0,,11476320.0,-58423270.0,,191603710.0,-58423270.0,-17106500.0,92877120.0
1584509,1584509.0,-3377274000.0,247050000.0,10472950000.0,5268488000.0,2653139000.0,374187000.0,11006229000.0,Special Food Services,-21147000.0,Aramark,238797000.0,93965000.0,5029691000.0,0.0,,-13.75145,14604412000.0,-3377274000.0,2459061000.0,,508212000.0,-3377274000.0,1.0,8547168000.0,-3377274000.0,808057000.0,2368095000.0
1584509,,-4717854000.0,710519000.0,7166730000.0,7243984000.0,2901425000.0,568440000.0,13720102000.0,,-40187000.0,,215025000.0,26658000.0,7028959000.0,,,-19.12041,15789633000.0,-4717854000.0,3029558000.0,,596182000.0,-4717854000.0,,10690544000.0,-4717854000.0,826137000.0,2490159000.0
1489744,1489744.0,-26430.0,-2430370.0,0.0,910830.0,540190.0,-2406150.0,2007490.0,Computer Systems Design and Related Services,,Raystream Inc,287880.0,52440.0,622950.0,1.0,,-0.00053,,-26430.0,973570.0,,29580.0,-26430.0,0.0,1033910.0,-26430.0,-2159930.0,185540.0
1489744,,-26430.0,-2430370.0,0.0,910830.0,540190.0,-2406150.0,2007490.0,,,,287880.0,52440.0,622950.0,,,-0.00053,,-26430.0,973570.0,,29580.0,-26430.0,,1033910.0,-26430.0,-2159930.0,185540.0
1355451,1355451.0,-703590.0,-8129260.0,10000.0,531080.0,289800.0,-2042570.0,289800.0,Other Investment Pools and Funds,,VGTel Inc,113190.0,-9980.0,417890.0,0.0,,-0.03172,0.0,-703590.0,-703590.0,,,-703590.0,1.0,993390.0,-703590.0,-434740.0,993390.0
1355451,,-703590.0,-8129260.0,360000.0,531080.0,289800.0,-2042570.0,289800.0,,,,113190.0,-9980.0,417890.0,,,-0.03172,0.0,-703590.0,-703590.0,,,-703590.0,,993390.0,-703590.0,-434740.0,993390.0
1516973,1516973.0,873851000.0,-243260000.0,847260000.0,3785978000.0,,43671000.0,4797155000.0,Other Investment Pools and Funds,,Mountain Merger Sub Corp,123640000.0,,3715692000.0,1.0,,19.08055,147770000.0,873851000.0,932730000.0,,,873851000.0,0.0,3864425000.0,873851000.0,43546000.0,
1516973,,946228000.0,-171119000.0,906790000.0,4880995000.0,,161326000.0,5953036000.0,,,,123762000.0,,4810787000.0,,,20.6609,143648000.0,946228000.0,1005107000.0,,,946228000.0,,4947929000.0,946228000.0,160776000.0,
1504795,1504795.0,235550.0,-248390630.0,410000.0,0.0,2861700.0,-226628860.0,2875710.0,"Deep Sea, Coastal, and Great Lakes Water Transportation",1289250.0,Box Ships Inc,36760.0,-1501260.0,-27960.0,0.0,,0.08088,,235550.0,244350.0,,7650610.0,235550.0,1.0,2631360.0,235550.0,-222156710.0,2630400.0
1504795,,235550.0,-248390630.0,170000.0,0.0,2861700.0,-226628860.0,2875710.0,,1289250.0,,36760.0,-1501260.0,-27960.0,,,0.08088,,235550.0,244350.0,,7650610.0,235550.0,,2631360.0,235550.0,-222156710.0,2630400.0
1508475,1508475.0,3224258000.0,-2804409000.0,731650000.0,3190862000.0,5158561000.0,-931922000.0,12421524000.0,Computer Systems Design and Related Services,9108000.0,21Vianet Group Inc,1575364000.0,50499000.0,2341300000.0,0.0,,4.74255,3641774000.0,3224258000.0,6125215000.0,,83091000.0,3224258000.0,1.0,6296309000.0,3224258000.0,-870037000.0,4373857000.0
1508475,,3495217000.0,-3590564000.0,796590000.0,3039332000.0,4245542000.0,-917644000.0,9908161000.0,,-1134000.0,,2498521000.0,28112000.0,692282000.0,,,5.20675,3392705000.0,3495217000.0,5049533000.0,,64845000.0,3495217000.0,,4858628000.0,3495217000.0,-891760000.0,1775323000.0
1500837,1429469.0,21656000.0,14743000.0,30520000.0,541000.0,,110000.0,173209000.0,Depository Credit Intermediation,,Sunshine Financial Inc,,,,1.0,,21.02443,,21656000.0,21656000.0,,,21656000.0,0.0,151553000.0,21656000.0,,
1500837,1500837.0,21656000.0,14743000.0,29800000.0,541000.0,,110000.0,173209000.0,,,,,,,,,21.02443,,21656000.0,21656000.0,,,21656000.0,,151553000.0,21656000.0,,
1495191,1495191.0,760.0,-943940.0,4260000.0,87500.0,336650.0,-608670.0,699150.0,Nondepository Credit Intermediation,,InterTech Solutions Inc,120.0,,87380.0,0.0,,0.00291,2440.0,760.0,363260.0,,,760.0,1.0,335890.0,760.0,-622760.0,335890.0
1495191,,760.0,-943940.0,710000.0,87500.0,336650.0,-608670.0,699150.0,,,,120.0,,87380.0,,,0.00291,2440.0,760.0,363260.0,,,760.0,,335890.0,760.0,-622760.0,335890.0
1499618,1499618.0,-38050.0,-46010.0,1380000.0,136300.0,64010.0,-10790.0,187720.0,"Advertising, Public Relations, and Related Services",,Energy Today Inc,27970.0,,108330.0,0.0,,-1.02616,860120.0,-38050.0,-38050.0,,31620.0,-38050.0,1.0,225770.0,-38050.0,2810.0,129010.0
1499618,,-38050.0,-46010.0,1380000.0,136300.0,64010.0,-10790.0,187720.0,,,,27970.0,,108330.0,,,-1.02616,860120.0,-38050.0,-38050.0,,31620.0,-38050.0,,225770.0,-38050.0,2810.0,129010.0
1504619,1504619.0,457906270.0,7453030.0,527950000.0,256858460.0,,36325280.0,747345400.0,Other Investment Pools and Funds,,PennantPark Floating Rate Capital Ltd,18910760.0,8888890.0,237947700.0,0.0,,14.09807,59496830.0,457906270.0,457906270.0,,,457906270.0,1.0,289439130.0,457906270.0,33445360.0,
1504619,,535841570.0,-7484680.0,448590000.0,467632200.0,,33490220.0,1076443350.0,,,,72224180.0,38673440.0,395408020.0,,,13.8203,72204580.0,535841570.0,535841570.0,,,535841570.0,,540601790.0,535841570.0,30964090.0,
1755191,1755191.0,29490190.0,-143925390.0,66350000.0,0.0,13296480.0,-12016980.0,40880950.0,Metal Ore Mining,,Liberty Gold Corp,12468890.0,408840.0,-2560210.0,0.0,,0.19657,,29490190.0,29490190.0,,76700.0,29490190.0,1.0,11390760.0,29490190.0,-11398170.0,897300.0
1755191,,19005800.0,-164649890.0,62850000.0,0.0,2482550.0,-13279490.0,30008570.0,,,,2266220.0,11140.0,7061670.0,,,0.12567,,19005800.0,19005800.0,,63020.0,19005800.0,,11002770.0,19005800.0,-12710950.0,972210.0
1519469,1519469.0,2802880.0,-19589980.0,7280000.0,365730.0,465230.0,-5537150.0,26050360.0,Metal Ore Mining,,Anfield Energy Inc,283050.0,-425800.0,82680.0,0.0,,0.34795,,2802880.0,2802880.0,,6790.0,2802880.0,1.0,23247480.0,2802880.0,-3349110.0,5726230.0
1519469,,-12542440.0,-43240260.0,8730000.0,207030.0,779470.0,-23681150.0,8278990.0,,,,120770.0,-124860.0,86260.0,,,-0.59884,,-12542440.0,-12542440.0,,2470.0,-12542440.0,,20821430.0,-12542440.0,-22175150.0,4166020.0
1509786,1509786.0,-63810.0,-1306950.0,560000.0,2500.0,,-67280.0,0.0,Lessors of Real Estate,,Inspired Builders Inc,,,2500.0,0.0,,-0.57357,,-63810.0,-63810.0,,,-63810.0,1.0,63810.0,-63810.0,-44590.0,63810.0
1509786,,-2560.0,-1455520.0,180000.0,2500.0,3810.0,-148570.0,3810.0,,,,3810.0,,-1310.0,,,-0.00253,,-2560.0,-2560.0,,,-2560.0,,6370.0,-2560.0,-148440.0,6370.0
1506439,1506439.0,11222220.0,-4117480.0,37150000.0,0.0,12665120.0,-5715980.0,25329950.0,"Data Processing, Hosting, and Related Services",,SharpSpring Inc,8651370.0,-156080.0,-8651370.0,0.0,,1.34226,11541700.0,11222220.0,22918250.0,,1360110.0,11222220.0,1.0,2411710.0,11222220.0,-8027360.0,2216210.0
1506439,,8733310.0,-7873880.0,108490000.0,0.0,9071450.0,-4669840.0,21682120.0,,,,5399750.0,-22860.0,-5399750.0,,,1.03524,13448750.0,8733310.0,19932210.0,,527470.0,8733310.0,,1749920.0,8733310.0,-6983120.0,1581780.0
1481691,1481691.0,125720000.0,-100722000.0,28990000.0,0.0,24724000.0,-11892000.0,137957000.0,Oil and Gas Extraction,,Condor Petroleum Inc,21531000.0,,-21531000.0,0.0,,2.90581,,125720000.0,125720000.0,,992000.0,125720000.0,1.0,12237000.0,125720000.0,-11492000.0,5285000.0
1481691,,55156000.0,-167390000.0,6620000.0,13083000.0,10326000.0,-66668000.0,77630000.0,,,,3910000.0,,9173000.0,,,1.27484,,55156000.0,55156000.0,,2842000.0,55156000.0,,22474000.0,55156000.0,-65990000.0,12046000.0
1433607,1433607.0,4045000.0,-131914000.0,6670000.0,2680000.0,8594000.0,-8461000.0,9410000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",253000.0,InspireMD Inc,7516000.0,-587000.0,-4836000.0,0.0,,479.83393,1894000.0,4045000.0,4045000.0,,,4045000.0,1.0,5365000.0,4045000.0,-7648000.0,4778000.0
1433607,,3001000.0,-140352000.0,5980000.0,0.0,5155000.0,-8438000.0,6107000.0,,-33000.0,,3710000.0,294000.0,-3710000.0,,,101.11186,2761000.0,3001000.0,3001000.0,,,3001000.0,,3106000.0,3001000.0,-8232000.0,2482000.0
1122388,1122388.0,563072000.0,43026000.0,3059950000.0,704000.0,477315000.0,37776000.0,751517000.0,Software Publishers,,Ellie Mae Inc,422748000.0,3678000.0,-422044000.0,0.0,,16.71549,360285000.0,563072000.0,654908000.0,,,563072000.0,0.0,96609000.0,563072000.0,55617000.0,78877000.0
1122388,,510014000.0,86399000.0,2189080000.0,0.0,302638000.0,52850000.0,831607000.0,,,,241043000.0,4943000.0,-241043000.0,,,14.90063,417042000.0,510014000.0,735339000.0,,,510014000.0,,96268000.0,510014000.0,42138000.0,77388000.0
1517175,1517175.0,-101155000.0,68503000.0,583470000.0,332520000.0,264491000.0,3023000.0,633538000.0,Grocery and Related Product Merchant Wholesalers,7038000.0,Chefs' Warehouse Inc,32862000.0,,299658000.0,0.0,,-3.84906,1192866000.0,-101155000.0,193760000.0,,,-101155000.0,1.0,439778000.0,-101155000.0,47239000.0,107374000.0
1517175,,-64921000.0,82869000.0,958450000.0,317822000.0,296840000.0,14366000.0,687749000.0,,-11783000.0,,41504000.0,,276318000.0,,,-2.28256,1301520000.0,-64921000.0,248601000.0,,,-64921000.0,,439148000.0,-64921000.0,41127000.0,108273000.0
1383395,1383395.0,1153000.0,-181296000.0,152500000.0,24050000.0,50069000.0,-24503000.0,65077000.0,Semiconductor and Other Electronic Component Manufacturing,-4628000.0,Sequans Communications SA,20547000.0,2354000.0,3503000.0,0.0,,0.01537,45579000.0,1153000.0,8860000.0,,,1153000.0,1.0,56217000.0,1153000.0,-19744000.0,31467000.0
1383395,,-5414000.0,-202399000.0,73890000.0,24476000.0,39747000.0,-25860000.0,57056000.0,,1317000.0,,3295000.0,-5939000.0,21181000.0,,,-0.06765,48263000.0,-5414000.0,4148000.0,,,-5414000.0,,52908000.0,-5414000.0,-19847000.0,27938000.0
1519457,1519457.0,,,,,,,,,,Nambia Rare Earths Inc,,,,,,,,,,,,,,,,,
1343257,1343257.0,-387340.0,-139230.0,3090000.0,1493110.0,6600.0,-129470.0,2224010.0,Oil and Gas Extraction,,BCM Energy Partners Inc,3900.0,293840.0,1489690.0,1.0,,-2.91365,292180.0,-387340.0,-386860.0,,52850.0,-387340.0,0.0,2610870.0,-387340.0,-129180.0,2608620.0
1343257,,-387340.0,-139230.0,3090000.0,1493110.0,6600.0,-129470.0,2224010.0,,,,3900.0,293840.0,1489690.0,,,-2.91365,292180.0,-387340.0,-386860.0,,52850.0,-387340.0,,2610870.0,-387340.0,-129180.0,2608620.0
